# t [s], xp [m], d [micron], d^2 [micron^2], mp [mg], Tp [K], Tg [K], ug [m/s], mtfd, htfd, Sm [kg/m3s], Sh [J/m3s], rho[kg/m3s], Mliquid
0,0.009,20,400,2.84829e-06,300,300.092,0.314056,0,0,0,0,679.979,8.42202e+08
2.77843e-06,0.00900087,20.0007,400.028,2.84777e-06,299.971,300.093,0.314057,-1.85696e-10,-10519.9,-4.34528e-07,0.00100191,680.004,8.42202e+08
5.55686e-06,0.00900174,19.9993,399.97,2.84726e-06,299.941,300.095,0.314058,-1.85327e-10,-10486.2,-4.33666e-07,0.00125028,680.029,8.42202e+08
8.33529e-06,0.00900262,19.9978,399.912,2.84674e-06,299.912,300.096,0.31406,-1.84961e-10,-10452.6,-4.32809e-07,0.00149784,680.054,8.42202e+08
1.11137e-05,0.00900349,19.9964,399.855,2.84623e-06,299.883,300.097,0.314061,-1.84596e-10,-10419.1,-4.31955e-07,0.00174458,680.078,8.42202e+08
1.38922e-05,0.00900436,19.9949,399.797,2.84572e-06,299.854,300.098,0.314063,-1.84233e-10,-10385.8,-4.31105e-07,0.0019905,680.103,8.42202e+08
1.66706e-05,0.00900523,19.9935,399.739,2.8452e-06,299.825,300.1,0.314064,-1.83871e-10,-10352.5,-4.30259e-07,0.00223562,680.127,8.42202e+08
1.9449e-05,0.00900611,19.992,399.682,2.84469e-06,299.797,300.101,0.314065,-1.83511e-10,-10319.4,-4.29416e-07,0.00247993,680.152,8.42202e+08
2.22275e-05,0.00900698,19.9906,399.625,2.84418e-06,299.768,300.102,0.314067,-1.83153e-10,-10286.4,-4.28578e-07,0.00272344,680.176,8.42202e+08
2.50059e-05,0.00900785,19.9892,399.568,2.84367e-06,299.739,300.103,0.314068,-1.82796e-10,-10253.5,-4.27743e-07,0.00296615,680.2,8.42202e+08
2.77843e-05,0.00900872,19.9878,399.51,2.84317e-06,299.711,300.105,0.314069,-1.82441e-10,-10220.7,-4.26912e-07,0.00320806,680.225,8.42202e+08
3.05627e-05,0.0090096,19.9863,399.454,2.84266e-06,299.683,300.106,0.314071,-1.82087e-10,-10188,-4.26085e-07,0.00344918,680.249,8.42202e+08
3.33412e-05,0.00901047,19.9849,399.397,2.84215e-06,299.654,300.107,0.314072,-1.81735e-10,-10155.4,-4.25261e-07,0.00368951,680.273,8.42202e+08
3.61196e-05,0.00901134,19.9835,399.34,2.84165e-06,299.626,300.108,0.314073,-1.81385e-10,-10123,-4.24441e-07,0.00392905,680.297,8.42202e+08
3.8898e-05,0.00901221,19.9821,399.284,2.84114e-06,299.598,300.11,0.314075,-1.81036e-10,-10090.6,-4.23625e-07,0.0041678,680.321,8.42202e+08
4.16765e-05,0.00901309,19.9807,399.227,2.84064e-06,299.57,300.111,0.314076,-1.80689e-10,-10058.4,-4.22812e-07,0.00440578,680.344,8.42202e+08
4.44549e-05,0.00901396,19.9793,399.171,2.84014e-06,299.542,300.112,0.314077,-1.80343e-10,-10026.3,-4.22003e-07,0.00464298,680.368,8.42202e+08
4.72333e-05,0.00901483,19.9779,399.115,2.83964e-06,299.514,300.113,0.314079,-1.79999e-10,-9994.32,-4.21198e-07,0.0048794,680.392,8.42202e+08
5.00118e-05,0.0090157,19.9764,399.059,2.83914e-06,299.486,300.114,0.31408,-1.79656e-10,-9962.43,-4.20396e-07,0.00511505,680.415,8.42202e+08
5.27902e-05,0.00901657,19.975,399.003,2.83864e-06,299.459,300.116,0.314082,-1.79315e-10,-9930.65,-4.19597e-07,0.00534993,680.439,8.42202e+08
5.55686e-05,0.00901745,19.9737,398.947,2.83814e-06,299.431,300.117,0.314083,-1.78976e-10,-9898.98,-4.18803e-07,0.00558405,680.462,8.42202e+08
5.83471e-05,0.00901832,19.9723,398.891,2.83764e-06,299.404,300.118,0.314084,-1.78637e-10,-9867.42,-4.18012e-07,0.0058174,680.486,8.42202e+08
6.11255e-05,0.00901919,19.9709,398.835,2.83715e-06,299.376,300.119,0.314086,-1.78301e-10,-9835.97,-4.17224e-07,0.00604999,680.509,8.42202e+08
6.39039e-05,0.00902006,19.9695,398.78,2.83665e-06,299.349,300.121,0.314087,-1.77966e-10,-9804.63,-4.1644e-07,0.00628183,680.532,8.42202e+08
6.66824e-05,0.00902094,19.9681,398.725,2.83616e-06,299.322,300.122,0.314088,-1.77632e-10,-9773.39,-4.15659e-07,0.00651291,680.555,8.42202e+08
6.94608e-05,0.00902181,19.9667,398.669,2.83566e-06,299.294,300.123,0.31409,-1.773e-10,-9742.27,-4.14882e-07,0.00674324,680.578,8.42202e+08
7.22392e-05,0.00902268,19.9653,398.614,2.83517e-06,299.267,300.124,0.314091,-1.76969e-10,-9711.25,-4.14108e-07,0.00697282,680.601,8.42202e+08
7.50176e-05,0.00902355,19.9639,398.559,2.83468e-06,299.24,300.126,0.314092,-1.7664e-10,-9680.33,-4.13337e-07,0.00720165,680.624,8.42202e+08
7.77961e-05,0.00902443,19.9626,398.504,2.83419e-06,299.213,300.127,0.314094,-1.76312e-10,-9649.53,-4.1257e-07,0.00742975,680.647,8.42202e+08
8.05745e-05,0.0090253,19.9612,398.449,2.8337e-06,299.187,300.128,0.314095,-1.75986e-10,-9618.83,-4.11806e-07,0.0076571,680.669,8.42202e+08
8.33529e-05,0.00902617,19.9598,398.395,2.83321e-06,299.16,300.129,0.314097,-1.75661e-10,-9588.23,-4.11046e-07,0.00788371,680.692,8.42202e+08
8.61314e-05,0.00902704,19.9585,398.34,2.83272e-06,299.133,300.13,0.314098,-1.75337e-10,-9557.74,-4.10289e-07,0.0081096,680.715,8.42202e+08
8.89098e-05,0.00902792,19.9571,398.286,2.83224e-06,299.107,300.132,0.314099,-1.75015e-10,-9527.36,-4.09535e-07,0.00833475,680.737,8.42202e+08
9.16882e-05,0.00902879,19.9557,398.231,2.83175e-06,299.08,300.133,0.314101,-1.74694e-10,-9497.08,-4.08785e-07,0.00855917,680.76,8.42202e+08
9.44667e-05,0.00902966,19.9544,398.177,2.83126e-06,299.054,300.134,0.314102,-1.74375e-10,-9466.9,-4.08038e-07,0.00878286,680.782,8.42202e+08
