  Grid,   Temperature,   Uvec,  C2H5OH, O2, N2, AR,   CO,    CO2
   0.000e+00,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   1.015e-16,   1.440e-16
   8.347e-05,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.360e-16,   2.432e-16
   1.669e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.433e-16
   2.504e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   3.339e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   4.174e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   5.008e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   5.843e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   6.678e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   7.513e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.432e-16
   8.347e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   9.182e-04,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.002e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.085e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.169e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.252e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.336e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.419e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.361e-16,   2.431e-16
   1.503e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.431e-16
   1.586e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.431e-16
   1.669e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.431e-16
   1.753e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   1.836e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   1.920e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.003e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.087e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.170e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.254e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.337e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.421e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.504e-03,   3.000e+02,   3.549e-01,   1.000e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.588e-03,   3.000e+02,   3.549e-01,   1.001e-01,   2.088e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.671e-03,   3.000e+02,   3.549e-01,   1.001e-01,   2.087e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
   2.755e-03,   3.000e+02,   3.549e-01,   1.001e-01,   2.087e-01,   6.788e-01,   1.241e-02,   2.362e-16,   2.430e-16
